"Site, from 1 to 5 with U and D indicating Upstream and Downstream of dam respectively",,,,,,,,
"Reach, upstream or downstream the dam",,,,,,,,
Sample.Date as MM/DD?YYYY,,,,,,,,
parameter is 'netMIN' for net mineralization and 'netNIT' for nitrification ,,,,,,,,
estimate is the slope of N accumulation during the 14day incubation; mg-N/kg-sediment * day,,,,,,,,
std.error of the estimate,,,,,,,,
statistic (t-student) and p.value of the estimate are alos provided,,,,,,,,
parameter,Sample.Date,Stream,Site,Reach,estimate,std.error,statistic,p.value
netMIN,10/18/2019,CHIQUES,CHIQUES_S1U,Upstream,0.233,0.034,6.844,0.092
netMIN,10/18/2019,CHIQUES,CHIQUES_S2U,Upstream,0,0.252,0.001,0.999
netMIN,10/18/2019,CHIQUES,CHIQUES_S3U,Upstream,-0.579,0.457,-1.267,0.425
netMIN,10/18/2019,CHIQUES,CHIQUES_S4U,Upstream,-0.702,0.574,-1.223,0.436
netMIN,10/18/2019,CHIQUES,CHIQUES_S5U,Upstream,0.088,0.121,0.724,0.601
netMIN,10/25/2019,CHRISTINA,COOCH_S1D,Downstream,-0.913,0.922,-0.991,0.503
netMIN,10/25/2019,CHRISTINA,COOCH_S1U,Upstream,-0.572,0.281,-2.034,0.291
netMIN,10/25/2019,CHRISTINA,COOCH_S2D,Downstream,-0.686,1.389,-0.494,0.708
netMIN,10/25/2019,CHRISTINA,COOCH_S2U,Upstream,0.074,0.147,0.503,0.703
netMIN,10/25/2019,CHRISTINA,COOCH_S3D,Downstream,-0.77,1.395,-0.552,0.679
netMIN,10/25/2019,CHRISTINA,COOCH_S3U,Upstream,-0.303,0.265,-1.142,0.458
netMIN,10/25/2019,CHRISTINA,COOCH_S4D,Downstream,-1.207,2.363,-0.511,0.699
netMIN,10/25/2019,CHRISTINA,COOCH_S4U,Upstream,-0.628,0.617,-1.017,0.495
netMIN,10/25/2019,CHRISTINA,COOCH_S5D,Downstream,-0.271,0.23,-1.178,0.448
netMIN,10/25/2019,CHRISTINA,COOCH_S5U,Upstream,-0.376,0.223,-1.69,0.34
netMIN,12/11/2019,CHRISTINA,COOCH_S1D,Downstream,-0.083,0.034,-2.44,0.248
netMIN,12/11/2019,CHRISTINA,COOCH_S1U,Upstream,-0.762,3.458,-0.22,0.862
netMIN,12/11/2019,CHRISTINA,COOCH_S2D,Downstream,-0.79,0.985,-0.802,0.57
netMIN,12/11/2019,CHRISTINA,COOCH_S2U,Upstream,-0.114,0.376,-0.305,0.812
netMIN,12/11/2019,CHRISTINA,COOCH_S3D,Downstream,0.263,1.152,0.228,0.857
netMIN,12/11/2019,CHRISTINA,COOCH_S3U,Upstream,-0.757,0.184,-4.115,0.152
netMIN,12/11/2019,CHRISTINA,COOCH_S4D,Downstream,-1.174,0.291,-4.03,0.155
netMIN,12/11/2019,CHRISTINA,COOCH_S4U,Upstream,-0.513,0.129,-3.989,0.156
netMIN,12/11/2019,CHRISTINA,COOCH_S5D,Downstream,0.094,0.38,0.249,0.845
netMIN,12/11/2019,CHRISTINA,COOCH_S5U,Upstream,-0.265,0.554,-0.479,0.716
netMIN,1/9/2020,CHIQUES,CHIQUES_S1U,Upstream,-3.989,0.887,-4.498,0.139
netMIN,1/9/2020,CHIQUES,CHIQUES_S2U,Upstream,5.79,,,
netMIN,1/9/2020,CHIQUES,CHIQUES_S3U,Upstream,-0.144,0.93,-0.154,0.902
netMIN,1/9/2020,CHIQUES,CHIQUES_S4U,Upstream,1.464,7.139,0.205,0.871
netMIN,1/9/2020,CHIQUES,CHIQUES_S5U,Upstream,1.042,0.393,2.651,0.23
netMIN,5/14/2020,CHIQUES,CHIQUES_S1U,Upstream,0.48,0.807,0.596,0.658
netMIN,5/14/2020,CHIQUES,CHIQUES_S2U,Upstream,2.605,1.693,1.539,0.367
netMIN,5/14/2020,CHIQUES,CHIQUES_S3U,Upstream,2.027,0.074,27.361,0.023
netMIN,5/14/2020,CHIQUES,CHIQUES_S4U,Upstream,2.141,0.084,25.337,0.025
netMIN,5/14/2020,CHIQUES,CHIQUES_S5U,Upstream,2.001,3.837,0.522,0.694
netMIN,5/20/2020,CHRISTINA,COOCH_S1D,Downstream,0.65,0.072,8.967,0.071
netMIN,5/20/2020,CHRISTINA,COOCH_S1U,Upstream,-1.21,0.627,-1.928,0.305
netMIN,5/20/2020,CHRISTINA,COOCH_S2D,Downstream,1.903,1.355,1.405,0.394
netMIN,5/20/2020,CHRISTINA,COOCH_S2U,Upstream,2.051,0.486,4.223,0.148
netMIN,5/20/2020,CHRISTINA,COOCH_S3D,Downstream,0.617,0.327,1.888,0.31
netMIN,5/20/2020,CHRISTINA,COOCH_S4D,Downstream,0.186,0.008,23.407,0.027
netMIN,5/20/2020,CHRISTINA,COOCH_S5D,Downstream,0.083,0.483,0.173,0.891
netMIN,7/16/2020,CHIQUES,CHIQUES_S1U,Upstream,2.575,3.807,0.676,0.621
netMIN,7/16/2020,CHIQUES,CHIQUES_S2U,Upstream,-0.113,0.091,-1.251,0.429
netMIN,7/16/2020,CHIQUES,CHIQUES_S3U,Upstream,-0.016,0.024,-0.639,0.638
netMIN,7/16/2020,CHIQUES,CHIQUES_S4U,Upstream,0.834,0.203,4.1,0.152
netMIN,7/16/2020,CHIQUES,CHIQUES_S5U,Upstream,0.04,0.016,2.473,0.245
netMIN,7/23/2020,CHRISTINA,COOCH_S1D,Downstream,-0.023,0.017,-1.353,0.405
netMIN,7/23/2020,CHRISTINA,COOCH_S1U,Upstream,-0.608,0.353,-1.721,0.335
netMIN,7/23/2020,CHRISTINA,COOCH_S2D,Downstream,-0.263,0.294,-0.893,0.536
netMIN,7/23/2020,CHRISTINA,COOCH_S2U,Upstream,-0.15,0.131,-1.141,0.458
netMIN,7/23/2020,CHRISTINA,COOCH_S3D,Downstream,-0.08,0.115,-0.696,0.613
netMIN,7/23/2020,CHRISTINA,COOCH_S3U,Upstream,-0.081,0.029,-2.82,0.217
netMIN,7/23/2020,CHRISTINA,COOCH_S4D,Downstream,-0.025,0.033,-0.757,0.587
netMIN,7/23/2020,CHRISTINA,COOCH_S4U,Upstream,-0.13,0.08,-1.614,0.353
netMIN,7/23/2020,CHRISTINA,COOCH_S5D,Downstream,-0.085,0.141,-0.603,0.655
netMIN,7/23/2020,CHRISTINA,COOCH_S5U,Upstream,-0.156,0.112,-1.402,0.394
netMIN,9/23/2020,CHIQUES,CHIQUES_S1D,Downstream,-0.225,0.251,-0.895,0.535
netMIN,9/23/2020,CHIQUES,CHIQUES_S1U,Upstream,1.013,1.058,0.957,0.514
netMIN,9/23/2020,CHIQUES,CHIQUES_S2U,Upstream,0.367,0.042,8.748,0.072
netMIN,9/23/2020,CHIQUES,CHIQUES_S3U,Upstream,0.373,0.115,3.244,0.19
netMIN,9/23/2020,CHIQUES,CHIQUES_S4U,Upstream,-0.041,0.005,-8.135,0.078
netMIN,9/23/2020,CHIQUES,CHIQUES_S5U,Upstream,0.373,0.097,3.832,0.163
netMIN,9/30/2020,CHRISTINA,COOCH_S1D,Downstream,0.081,0.024,3.325,0.186
netMIN,9/30/2020,CHRISTINA,COOCH_S1U,Upstream,0.254,0.025,10.182,0.062
netMIN,9/30/2020,CHRISTINA,COOCH_S2D,Downstream,-0.251,0.322,-0.779,0.579
netMIN,9/30/2020,CHRISTINA,COOCH_S2U,Upstream,-0.177,0.331,-0.535,0.687
netMIN,9/30/2020,CHRISTINA,COOCH_S3D,Downstream,0.029,0.081,0.362,0.779
netMIN,9/30/2020,CHRISTINA,COOCH_S3U,Upstream,-0.122,0.261,-0.467,0.722
netMIN,9/30/2020,CHRISTINA,COOCH_S4D,Downstream,0.023,0.042,0.552,0.679
netMIN,9/30/2020,CHRISTINA,COOCH_S4U,Upstream,-0.121,0.176,-0.686,0.617
netMIN,9/30/2020,CHRISTINA,COOCH_S5D,Downstream,0.173,0.016,10.904,0.058
netMIN,9/30/2020,CHRISTINA,COOCH_S5U,Upstream,0.12,0.075,1.599,0.356
netMIN,1/20/2021,CHIQUES,CHIQUES_S1U,Upstream,-4.524,4.701,-0.962,0.512
netMIN,1/20/2021,CHIQUES,CHIQUES_S2U,Upstream,-0.111,0.131,-0.85,0.552
netMIN,1/20/2021,CHIQUES,CHIQUES_S3U,Upstream,0.625,1.046,0.598,0.657
netMIN,1/20/2021,CHIQUES,CHIQUES_S4U,Upstream,-0.728,1.502,-0.485,0.713
netMIN,1/20/2021,CHIQUES,CHIQUES_S5U,Upstream,1.491,1.744,0.855,0.55
netMIN,1/28/2021,CHRISTINA,COOCH_S1D,Downstream,-0.079,0.005,-16.688,0.038
netMIN,1/28/2021,CHRISTINA,COOCH_S1U,Upstream,-0.086,0.088,-0.975,0.508
netMIN,1/28/2021,CHRISTINA,COOCH_S2D,Downstream,0.056,0.027,2.117,0.281
netMIN,1/28/2021,CHRISTINA,COOCH_S2U,Upstream,-0.156,0.13,-1.207,0.44
netMIN,1/28/2021,CHRISTINA,COOCH_S3D,Downstream,0.033,0.124,0.268,0.833
netMIN,1/28/2021,CHRISTINA,COOCH_S3U,Upstream,-0.243,0.19,-1.278,0.423
netMIN,1/28/2021,CHRISTINA,COOCH_S4D,Downstream,0.205,0.277,0.74,0.595
netMIN,1/28/2021,CHRISTINA,COOCH_S4U,Upstream,-0.963,0.578,-1.666,0.344
netMIN,1/28/2021,CHRISTINA,COOCH_S5D,Downstream,-0.764,0.487,-1.567,0.362
netMIN,1/28/2021,CHRISTINA,COOCH_S5U,Upstream,-0.844,0.862,-0.979,0.507
netMIN,5/12/2021,CHIQUES,CHIQUES_S1D,Downstream,0.443,0.441,1.006,0.498
netMIN,5/12/2021,CHIQUES,CHIQUES_S1U,Upstream,0.313,0.242,1.292,0.419
netMIN,5/12/2021,CHIQUES,CHIQUES_S2D,Downstream,0.829,0.64,1.295,0.419
netMIN,5/12/2021,CHIQUES,CHIQUES_S2U,Upstream,0.757,0.25,3.029,0.203
netMIN,5/12/2021,CHIQUES,CHIQUES_S3U,Upstream,0.12,0.068,1.755,0.33
netMIN,5/12/2021,CHIQUES,CHIQUES_S4U,Upstream,0.249,0.224,1.109,0.467
netMIN,5/19/2021,CHRISTINA,COOCH_S1D,Downstream,3.189,,,
netMIN,5/19/2021,CHRISTINA,COOCH_S1U,Upstream,0.179,0.094,1.905,0.308
netMIN,5/19/2021,CHRISTINA,COOCH_S2D,Downstream,0.458,0.211,2.173,0.275
netMIN,5/19/2021,CHRISTINA,COOCH_S2U,Upstream,-0.053,0.101,-0.525,0.692
netMIN,5/19/2021,CHRISTINA,COOCH_S3D,Downstream,0.857,0.019,46.118,0.014
netMIN,5/19/2021,CHRISTINA,COOCH_S3U,Upstream,0.047,0.04,1.191,0.445
netMIN,5/19/2021,CHRISTINA,COOCH_S4D,Downstream,-0.181,0.486,-0.373,0.773
netMIN,5/19/2021,CHRISTINA,COOCH_S4U,Upstream,0.695,0.03,23.407,0.027
netMIN,5/19/2021,CHRISTINA,COOCH_S5D,Downstream,0.394,,,
netMIN,5/19/2021,CHRISTINA,COOCH_S5U,Upstream,-0.388,0.162,-2.402,0.251
netMIN,8/23/2021,CHIQUES,CHIQUES_S1U,Upstream,-0.189,0.041,-4.622,0.136
netMIN,8/23/2021,CHIQUES,CHIQUES_S2U,Upstream,-0.029,0.048,-0.61,0.651
netMIN,8/23/2021,CHIQUES,CHIQUES_S3U,Upstream,-0.001,0.004,-0.128,0.919
netMIN,8/23/2021,CHIQUES,CHIQUES_S4U,Upstream,-0.606,0.019,-31.096,0.02
netMIN,8/23/2021,CHIQUES,CHIQUES_S5U,Upstream,-0.553,0.195,-2.837,0.216
netMIN,8/30/2021,CHIQUES,CHIQUES_S2D,Downstream,-0.018,0.01,-1.758,0.329
netMIN,8/26/2021,CHRISTINA,COOCH_S1D,Downstream,-0.055,0.078,-0.701,0.611
netMIN,8/26/2021,CHRISTINA,COOCH_S1U,Upstream,-0.007,0.007,-1.039,0.488
netMIN,8/26/2021,CHRISTINA,COOCH_S2D,Downstream,-0.029,0.015,-1.963,0.3
netMIN,8/26/2021,CHRISTINA,COOCH_S2U,Upstream,-0.569,0.308,-1.847,0.316
netMIN,8/26/2021,CHRISTINA,COOCH_S3D,Downstream,-0.045,0.033,-1.379,0.399
netMIN,8/26/2021,CHRISTINA,COOCH_S3U,Upstream,-0.022,0.011,-2.027,0.292
netMIN,8/26/2021,CHRISTINA,COOCH_S4D,Downstream,-0.019,0.032,-0.577,0.667
netMIN,8/26/2021,CHRISTINA,COOCH_S4U,Upstream,-0.032,0.029,-1.119,0.464
netMIN,8/26/2021,CHRISTINA,COOCH_S5D,Downstream,-0.103,0.047,-2.195,0.272
netMIN,8/26/2021,CHRISTINA,COOCH_S5U,Upstream,-0.015,0.001,-10.97,0.058
netNIT,10/18/2019,CHIQUES,CHIQUES_S1U,Upstream,0.021,0.757,0.028,0.982
netNIT,10/18/2019,CHIQUES,CHIQUES_S2U,Upstream,0.287,0.327,0.879,0.541
netNIT,10/18/2019,CHIQUES,CHIQUES_S3U,Upstream,-0.325,0.641,-0.506,0.702
netNIT,10/18/2019,CHIQUES,CHIQUES_S4U,Upstream,-0.171,0.759,-0.225,0.859
netNIT,10/18/2019,CHIQUES,CHIQUES_S5U,Upstream,-0.094,0.303,-0.308,0.81
netNIT,10/25/2019,CHRISTINA,COOCH_S1D,Downstream,-0.018,0.051,-0.342,0.79
netNIT,10/25/2019,CHRISTINA,COOCH_S1U,Upstream,0.603,0.04,15.129,0.042
netNIT,10/25/2019,CHRISTINA,COOCH_S2D,Downstream,-0.095,0.088,-1.079,0.476
netNIT,10/25/2019,CHRISTINA,COOCH_S2U,Upstream,-0.076,0.079,-0.97,0.51
netNIT,10/25/2019,CHRISTINA,COOCH_S3D,Downstream,0.243,0.007,33.595,0.019
netNIT,10/25/2019,CHRISTINA,COOCH_S3U,Upstream,-0.03,0.509,-0.058,0.963
netNIT,10/25/2019,CHRISTINA,COOCH_S4D,Downstream,0.091,0.117,0.777,0.58
netNIT,10/25/2019,CHRISTINA,COOCH_S4U,Upstream,-0.075,0.289,-0.259,0.839
netNIT,10/25/2019,CHRISTINA,COOCH_S5D,Downstream,-0.213,0.017,-12.229,0.052
netNIT,10/25/2019,CHRISTINA,COOCH_S5U,Upstream,-0.019,0.108,-0.179,0.887
netNIT,12/11/2019,CHRISTINA,COOCH_S1D,Downstream,-0.08,0.068,-1.18,0.448
netNIT,12/11/2019,CHRISTINA,COOCH_S1U,Upstream,0.021,0.013,1.556,0.364
netNIT,12/11/2019,CHRISTINA,COOCH_S2D,Downstream,-0.014,0.67,-0.021,0.987
netNIT,12/11/2019,CHRISTINA,COOCH_S2U,Upstream,-0.073,0.049,-1.493,0.376
netNIT,12/11/2019,CHRISTINA,COOCH_S3D,Downstream,0.042,0.112,0.374,0.772
netNIT,12/11/2019,CHRISTINA,COOCH_S3U,Upstream,0.046,0.072,0.643,0.636
netNIT,12/11/2019,CHRISTINA,COOCH_S4D,Downstream,0.992,0.316,3.138,0.196
netNIT,12/11/2019,CHRISTINA,COOCH_S4U,Upstream,-0.428,0.124,-3.44,0.18
netNIT,12/11/2019,CHRISTINA,COOCH_S5D,Downstream,0.028,0.024,1.182,0.447
netNIT,12/11/2019,CHRISTINA,COOCH_S5U,Upstream,0.048,0.024,1.957,0.301
netNIT,1/9/2020,CHIQUES,CHIQUES_S1U,Upstream,-1.026,0.147,-6.957,0.091
netNIT,1/9/2020,CHIQUES,CHIQUES_S2U,Upstream,-2.747,,,
netNIT,1/9/2020,CHIQUES,CHIQUES_S3U,Upstream,-0.21,0.05,-4.215,0.148
netNIT,1/9/2020,CHIQUES,CHIQUES_S4U,Upstream,-0.548,0.077,-7.07,0.089
netNIT,1/9/2020,CHIQUES,CHIQUES_S5U,Upstream,-1.209,0.306,-3.952,0.158
netNIT,5/14/2020,CHIQUES,CHIQUES_S1U,Upstream,0.002,0,10.97,0.058
netNIT,5/14/2020,CHIQUES,CHIQUES_S2U,Upstream,0.006,0.004,1.489,0.377
netNIT,5/14/2020,CHIQUES,CHIQUES_S3U,Upstream,0.006,0.002,2.54,0.239
netNIT,5/14/2020,CHIQUES,CHIQUES_S4U,Upstream,0.006,0.004,1.588,0.358
netNIT,5/14/2020,CHIQUES,CHIQUES_S5U,Upstream,0.005,0.022,0.204,0.872
netNIT,5/20/2020,CHRISTINA,COOCH_S1D,Downstream,0.009,0.005,1.963,0.3
netNIT,5/20/2020,CHRISTINA,COOCH_S1U,Upstream,0.003,0.001,3.464,0.179
netNIT,5/20/2020,CHRISTINA,COOCH_S2D,Downstream,-0.003,0.002,-1.897,0.309
netNIT,5/20/2020,CHRISTINA,COOCH_S2U,Upstream,0.004,0.002,1.417,0.391
netNIT,5/20/2020,CHRISTINA,COOCH_S3D,Downstream,0.014,0.016,0.891,0.537
netNIT,5/20/2020,CHRISTINA,COOCH_S4D,Downstream,0.005,0.005,1.212,0.439
netNIT,5/20/2020,CHRISTINA,COOCH_S5D,Downstream,0.001,0.003,0.289,0.821
netNIT,7/16/2020,CHIQUES,CHIQUES_S1U,Upstream,3.63,1.463,2.482,0.244
netNIT,7/16/2020,CHIQUES,CHIQUES_S2U,Upstream,0.697,0.156,4.48,0.14
netNIT,7/16/2020,CHIQUES,CHIQUES_S3U,Upstream,-0.346,0.058,-5.946,0.106
netNIT,7/16/2020,CHIQUES,CHIQUES_S4U,Upstream,2.356,0.652,3.614,0.172
netNIT,7/16/2020,CHIQUES,CHIQUES_S5U,Upstream,1.134,0.19,5.951,0.106
netNIT,7/23/2020,CHRISTINA,COOCH_S1D,Downstream,0.77,0.016,47.198,0.013
netNIT,7/23/2020,CHRISTINA,COOCH_S1U,Upstream,-0.421,0.388,-1.085,0.474
netNIT,7/23/2020,CHRISTINA,COOCH_S2D,Downstream,1.681,0.047,35.843,0.018
netNIT,7/23/2020,CHRISTINA,COOCH_S2U,Upstream,0.739,0.132,5.617,0.112
netNIT,7/23/2020,CHRISTINA,COOCH_S3D,Downstream,0.447,0.045,9.914,0.064
netNIT,7/23/2020,CHRISTINA,COOCH_S3U,Upstream,0.141,0.234,0.6,0.656
netNIT,7/23/2020,CHRISTINA,COOCH_S4D,Downstream,0.782,0.086,9.111,0.07
netNIT,7/23/2020,CHRISTINA,COOCH_S4U,Upstream,0.055,0.001,81.021,0.008
netNIT,7/23/2020,CHRISTINA,COOCH_S5D,Downstream,0.424,0.116,3.639,0.171
netNIT,7/23/2020,CHRISTINA,COOCH_S5U,Upstream,0.448,0.026,17.341,0.037
netNIT,9/23/2020,CHIQUES,CHIQUES_S1D,Downstream,2.778,0.582,4.772,0.132
netNIT,9/23/2020,CHIQUES,CHIQUES_S1U,Upstream,-0.554,0.092,-5.991,0.105
netNIT,9/23/2020,CHIQUES,CHIQUES_S2U,Upstream,2.325,0.883,2.632,0.231
netNIT,9/23/2020,CHIQUES,CHIQUES_S3U,Upstream,0.847,1.152,0.736,0.596
netNIT,9/23/2020,CHIQUES,CHIQUES_S4U,Upstream,-1,1.306,-0.766,0.584
netNIT,9/23/2020,CHIQUES,CHIQUES_S5U,Upstream,-0.841,0.354,-2.378,0.253
netNIT,9/30/2020,CHRISTINA,COOCH_S1D,Downstream,-0.124,0.075,-1.645,0.348
netNIT,9/30/2020,CHRISTINA,COOCH_S1U,Upstream,1.005,0.287,3.507,0.177
netNIT,9/30/2020,CHRISTINA,COOCH_S2D,Downstream,-0.463,0.494,-0.937,0.521
netNIT,9/30/2020,CHRISTINA,COOCH_S2U,Upstream,-1.068,1.215,-0.879,0.541
netNIT,9/30/2020,CHRISTINA,COOCH_S3D,Downstream,0.051,0.011,4.715,0.133
netNIT,9/30/2020,CHRISTINA,COOCH_S3U,Upstream,-0.058,0.082,-0.701,0.611
netNIT,9/30/2020,CHRISTINA,COOCH_S4D,Downstream,0.001,0.166,0.008,0.995
netNIT,9/30/2020,CHRISTINA,COOCH_S4U,Upstream,0.059,0.006,10.369,0.061
netNIT,9/30/2020,CHRISTINA,COOCH_S5D,Downstream,0.04,0.036,1.087,0.474
netNIT,9/30/2020,CHRISTINA,COOCH_S5U,Upstream,-0.061,0.071,-0.866,0.546
netNIT,1/20/2021,CHIQUES,CHIQUES_S1U,Upstream,-0.638,1.308,-0.488,0.711
netNIT,1/20/2021,CHIQUES,CHIQUES_S2U,Upstream,-1.291,1.406,-0.918,0.527
netNIT,1/20/2021,CHIQUES,CHIQUES_S3U,Upstream,-0.413,1.937,-0.213,0.866
netNIT,1/20/2021,CHIQUES,CHIQUES_S4U,Upstream,-0.745,1.306,-0.571,0.67
netNIT,1/20/2021,CHIQUES,CHIQUES_S5U,Upstream,-3.704,0.23,-16.097,0.039
netNIT,1/28/2021,CHRISTINA,COOCH_S1D,Downstream,-0.291,0.383,-0.761,0.586
netNIT,1/28/2021,CHRISTINA,COOCH_S1U,Upstream,-0.168,0.445,-0.379,0.77
netNIT,1/28/2021,CHRISTINA,COOCH_S2D,Downstream,-0.519,0.373,-1.391,0.397
netNIT,1/28/2021,CHRISTINA,COOCH_S2U,Upstream,-0.143,0.708,-0.202,0.873
netNIT,1/28/2021,CHRISTINA,COOCH_S3D,Downstream,-0.417,0.234,-1.78,0.326
netNIT,1/28/2021,CHRISTINA,COOCH_S3U,Upstream,-0.308,0.32,-0.962,0.512
netNIT,1/28/2021,CHRISTINA,COOCH_S4D,Downstream,-0.371,0.325,-1.144,0.457
netNIT,1/28/2021,CHRISTINA,COOCH_S4U,Upstream,-0.747,0.073,-10.268,0.062
netNIT,1/28/2021,CHRISTINA,COOCH_S5D,Downstream,-0.481,0.353,-1.364,0.403
netNIT,1/28/2021,CHRISTINA,COOCH_S5U,Upstream,-1.848,0.01,-177.397,0.004
netNIT,5/12/2021,CHIQUES,CHIQUES_S1D,Downstream,1.02,0.352,2.893,0.212
netNIT,5/12/2021,CHIQUES,CHIQUES_S1U,Upstream,-2.447,0.852,-2.872,0.213
netNIT,5/12/2021,CHIQUES,CHIQUES_S2D,Downstream,-0.703,0.139,-5.072,0.124
netNIT,5/12/2021,CHIQUES,CHIQUES_S2U,Upstream,-0.185,0.142,-1.308,0.416
netNIT,5/12/2021,CHIQUES,CHIQUES_S3U,Upstream,-2.036,0.34,-5.993,0.105
netNIT,5/12/2021,CHIQUES,CHIQUES_S4U,Upstream,-0.834,0.188,-4.44,0.141
netNIT,5/19/2021,CHRISTINA,COOCH_S1D,Downstream,0.469,,,
netNIT,5/19/2021,CHRISTINA,COOCH_S1U,Upstream,-0.573,0.115,-4.989,0.126
netNIT,5/19/2021,CHRISTINA,COOCH_S2D,Downstream,0.002,0.324,0.005,0.997
netNIT,5/19/2021,CHRISTINA,COOCH_S2U,Upstream,-0.19,0.077,-2.455,0.246
netNIT,5/19/2021,CHRISTINA,COOCH_S3D,Downstream,0.196,0.12,1.634,0.35
netNIT,5/19/2021,CHRISTINA,COOCH_S3U,Upstream,-0.523,0.122,-4.293,0.146
netNIT,5/19/2021,CHRISTINA,COOCH_S4D,Downstream,-0.593,0.079,-7.545,0.084
netNIT,5/19/2021,CHRISTINA,COOCH_S4U,Upstream,0.016,0.004,4.041,0.154
netNIT,5/19/2021,CHRISTINA,COOCH_S5D,Downstream,0.01,,,
netNIT,5/19/2021,CHRISTINA,COOCH_S5U,Upstream,0.102,0.072,1.421,0.39
netNIT,8/23/2021,CHIQUES,CHIQUES_S1U,Upstream,0.618,0.746,0.829,0.559
netNIT,8/23/2021,CHIQUES,CHIQUES_S2U,Upstream,-0.735,0.921,-0.797,0.571
netNIT,8/23/2021,CHIQUES,CHIQUES_S3U,Upstream,0.959,0.84,1.142,0.458
netNIT,8/23/2021,CHIQUES,CHIQUES_S4U,Upstream,5.974,1.483,4.028,0.155
netNIT,8/23/2021,CHIQUES,CHIQUES_S5U,Upstream,0.913,1.332,0.686,0.617
netNIT,8/30/2021,CHIQUES,CHIQUES_S2D,Downstream,1.677,0.246,6.822,0.093
netNIT,8/26/2021,CHRISTINA,COOCH_S1D,Downstream,0.409,0.169,2.416,0.25
netNIT,8/26/2021,CHRISTINA,COOCH_S1U,Upstream,0.773,0.452,1.71,0.337
netNIT,8/26/2021,CHRISTINA,COOCH_S2D,Downstream,0.439,0.047,9.31,0.068
netNIT,8/26/2021,CHRISTINA,COOCH_S2U,Upstream,1.403,0.557,2.521,0.24
netNIT,8/26/2021,CHRISTINA,COOCH_S3D,Downstream,0.265,0.297,0.894,0.536
netNIT,8/26/2021,CHRISTINA,COOCH_S3U,Upstream,0.172,0.277,0.619,0.647
netNIT,8/26/2021,CHRISTINA,COOCH_S4D,Downstream,0.432,0.007,57.823,0.011
netNIT,8/26/2021,CHRISTINA,COOCH_S4U,Upstream,-0.05,0.031,-1.615,0.353
netNIT,8/26/2021,CHRISTINA,COOCH_S5D,Downstream,0.287,0.147,1.943,0.303
netNIT,8/26/2021,CHRISTINA,COOCH_S5U,Upstream,0.777,0.138,5.614,0.112
